confidence_threshold,kept_utts,kept_correct,kept_wrong,retention_pct,purity_pct,speaker_coverage_pct
0,280971,276643,4328,100,98.4596,98.4168
0.01,280713,276396,4317,99.9082,98.4621,98.374
0.02,280708,276392,4316,99.9064,98.4625,98.374
0.03,280701,276385,4316,99.9039,98.4624,98.374
0.04,280696,276380,4316,99.9021,98.4624,98.374
0.05,280684,276369,4315,99.8979,98.4627,98.374
0.06,280668,276354,4314,99.8922,98.463,98.374
0.07,280655,276342,4313,99.8875,98.4632,98.374
0.08,280643,276331,4312,99.8833,98.4635,98.374
0.09,280626,276315,4311,99.8772,98.4638,98.374
0.1,280612,276301,4311,99.8722,98.4637,98.374
0.11,280593,276284,4309,99.8655,98.4643,98.374
0.12,280576,276271,4305,99.8594,98.4657,98.374
0.13,280538,276239,4299,99.8459,98.4676,98.374
0.14,280499,276205,4294,99.832,98.4692,98.374
0.15,280459,276168,4291,99.8178,98.47,98.374
0.16,280412,276130,4282,99.801,98.473,98.374
0.17,280353,276076,4277,99.78,98.4744,98.374
0.18,280295,276028,4267,99.7594,98.4777,98.374
0.19,280225,275962,4263,99.7345,98.4787,98.374
0.2,280131,275885,4246,99.701,98.4843,98.374
0.21,280004,275768,4236,99.6558,98.4872,98.374
0.22,279882,275660,4222,99.6124,98.4915,98.374
0.23,279733,275531,4202,99.5594,98.4979,98.374
0.24,279570,275379,4191,99.5014,98.5009,98.374
0.25,279379,275208,4171,99.4334,98.507,98.374
0.26,279169,275014,4155,99.3587,98.5117,98.374
0.27,278897,274768,4129,99.2618,98.5195,98.374
0.28,278577,274471,4106,99.148,98.5261,98.374
0.29,278242,274160,4082,99.0287,98.5329,98.374
0.3,277832,273784,4048,98.8828,98.543,98.374
0.31,277346,273328,4018,98.7098,98.5513,98.374
0.32,276728,272736,3992,98.4899,98.5574,98.374
0.33,275975,272020,3955,98.2219,98.5669,98.374
0.34,275000,271100,3900,97.8749,98.5818,98.374
0.35,273819,269968,3851,97.4545,98.5936,98.374
0.36,272339,268560,3779,96.9278,98.6124,98.374
0.37,270385,266692,3693,96.2324,98.6342,98.374
0.38,267892,264297,3595,95.3451,98.658,98.374
0.39,264715,261244,3471,94.2143,98.6888,98.374
0.4,260705,257405,3300,92.7872,98.7342,98.374
0.41,255688,252575,3113,91.0016,98.7825,98.3312
0.42,249513,246625,2888,88.8038,98.8425,98.3312
0.43,241976,239324,2652,86.1213,98.904,98.3312
0.44,232991,230596,2395,82.9235,98.9721,98.2884
0.45,222170,220063,2107,79.0722,99.0516,98.2028
0.46,209428,207599,1829,74.5372,99.1267,97.9461
0.47,194953,193389,1564,69.3855,99.1978,97.6893
0.48,178583,177272,1311,63.5592,99.2659,97.2187
0.49,160665,159580,1085,57.1821,99.3247,96.2773
0.5,141601,140701,900,50.397,99.3644,95.3359
0.51,121794,121056,738,43.3475,99.3941,93.7527
0.52,101934,101352,582,36.2792,99.429,91.0141
0.53,82434,81985,449,29.339,99.4553,86.6068
0.54,64088,63758,330,22.8095,99.4851,81.1297
0.55,47821,47584,237,17.0199,99.5044,74.9251
0.56,33965,33818,147,12.0884,99.5672,65.6397
0.57,23007,22930,77,8.18839,99.6653,56.0976
0.58,14722,14679,43,5.23969,99.7079,45.3145
0.59,8984,8963,21,3.19748,99.7663,33.9752
0.6,5317,5308,9,1.89237,99.8307,22.6359
0.61,2970,2967,3,1.05705,99.899,15.2332
0.62,1680,1680,0,0.597926,100,9.92726
0.63,900,900,0,0.320318,100,5.69106
0.64,480,480,0,0.170836,100,2.99529
0.65,221,221,0,0.0786558,100,1.66881
0.66,113,113,0,0.0402177,100,1.02696
0.67,54,54,0,0.0192191,100,0.556269
0.68,21,21,0,0.00747408,100,0.17116
0.69,9,9,0,0.00320318,100,0.0427899
0.7,5,5,0,0.00177954,100,0.0427899
0.71,1,1,0,0.000355909,100,0.0427899
0.72,0,0,0,0,0,0
0.73,0,0,0,0,0,0
0.74,0,0,0,0,0,0
0.75,0,0,0,0,0,0
0.76,0,0,0,0,0,0
0.77,0,0,0,0,0,0
0.78,0,0,0,0,0,0
0.79,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.81,0,0,0,0,0,0
0.82,0,0,0,0,0,0
0.83,0,0,0,0,0,0
0.84,0,0,0,0,0,0
0.85,0,0,0,0,0,0
0.86,0,0,0,0,0,0
0.87,0,0,0,0,0,0
0.88,0,0,0,0,0,0
0.89,0,0,0,0,0,0
0.9,0,0,0,0,0,0
0.91,0,0,0,0,0,0
0.92,0,0,0,0,0,0
0.93,0,0,0,0,0,0
0.94,0,0,0,0,0,0
0.95,0,0,0,0,0,0
0.96,0,0,0,0,0,0
0.97,0,0,0,0,0,0
0.98,0,0,0,0,0,0
0.99,0,0,0,0,0,0
1,0,0,0,0,0,0
